ID;Contex/Box;Blank Type;Completeness;Blade/Bladelet Type;Max. Length (mm);Max. Width (mm);Max. Thickness (mm);Platform Type;Platform width (mm);Platform depth (mm);Dorsal reduction;Bulb;Distal configuration;Product Type;Axiality;Longitudinal cross-section;Blank cross-section;Dorsal triangular scars smaller than obtained product;Dorsal hinged scars smaller than obtained product;Retouch;Cortex/natural surface (in general);Cortical piece (>50%);Other comments
1502;An2-10-4-2;Blade;Proximal;Type 1;n/a;15;5;Plain;15;5;Absent;Pronounced;;Target central product;In-axis;Straight;Trapezoidal;Yes;No;None;0;0;Broken central small triangular point with Y-structure
1246;An2-10-4-2;Blade;Proximal;Type 1;n/a;21;8;Plain;16;7;Abrasion+Flaking;Diffuse;;Target central product;In-axis;Straight;Trapezoidal;No;No;None;0;0;Early central V-shaped small blade/let with broken tip
1503;An2-10-4-2;Blade;Proximal;n/a;n/a;16;3;Plain;11;2;Flaking;Diffuse;;Target central product;Off-axis left;Twisted;Trapezoidal;Yes;No;None;0;0;Broken central blade with small triangular bladelet negative
1533;An2-10-4-2;Blade;Proximal;n/a;n/a;24;10;Plain;21;10;Absent;Pronounced;;Target central product;In-axis;Straight;Trapezoidal;Yes;Yes;None;0;0;Good example of non-removal of left-over ridge overhangs from previous removals
64;An2-10-4-2;Blade;Proximal;n/a;n/a;16;6;Plain;13;6;Absent;Diffuse;;Target central product;In-axis;Straight;Trapezoidal;Yes;Yes;None;0;0;
73;An2-10-4-2;Blade;Proximal;n/a;n/a;24;6;Plain;17;6;Flaking;Pronounced;;Target central product;Off-axis left;Slightly curved;Trapezoidal;Yes;No;None;0;0;
75;An2-10-4-2;Blade;Proximal;Type 1;n/a;13;3;Plain;9;3;Flaking;Diffuse;Acute pointed;Target central product;In-axis;Straight;Triangular;No;No;None;0;0;
76;An2-10-4-2;Blade;Proximal;n/a;n/a;21;10;Plain;19;10;Flaking;Diffuse;;Target central product;In-axis;Straight;Triangular;Yes;No;None;0;0;
77;An2-10-4-2;Blade;Proximal;n/a;n/a;25;5;Plain;15;2;Abrasion+Flaking;Diffuse;;Lateral product;In-axis;Twisted;Trapezoidal;Yes;No;None;0;0;
82;An2-10-4-2;Blade;Proximal;n/a;n/a;23;6;Plain;10;11;Absent;Diffuse;n/a;Target central product;In-axis;Straight;Trapezoidal;Yes;No;None;0;0;"INTERESTING PIECE: first débitage evidence of bidirectional scar pattern; two opposing small triangular scar negatives, the main removal seems to come from the non-dominant side (possibly indicating the preparatory character of the piece, coming from the core foot)"
87;An2-10-4-2;Blade;Proximal;n/a;n/a;20;9;Plain;15;7;Abrasion+Flaking;Diffuse;n/a;Target central product;In-axis;Straight;Triangular;No;No;None;0;0;Centralized blade removing non-abraded/removed overhang on the core edge
88;An2-10-4-2;Blade;Proximal;n/a;n/a;16;11;Plain;7;10;Absent;Diffuse;n/a;Lateral product;Off-axis left;Twisted;Side blade/débordant;No;No;None;0;0;Preparatory character, removing a steep edge generated by previous removals
90;An2-10-4-2;Blade;Proximal;n/a;n/a;16;6;Plain;11;4;Abrasion;Diffuse;n/a;Target central product;Off-axis left;Straight;Triangular;Yes;No;None;0;0;
101;An2-10-4-2;Blade;Proximal;n/a;n/a;19;7;Plain;9;7;Absent;Diffuse;n/a;Target central product;In-axis;Twisted;Triangular;Yes;No;None;0;0;
103;An2-10-4-2;Blade;Proximal;n/a;n/a;19;8;Plain;11;8;Flaking;Pronounced;n/a;Lateral product;Off-axis left;Straight;Side blade/débordant;Yes;No;None;0;0;
115;An2-10-4-2;Blade;Proximal;n/a;n/a;17;6;Plain;19;6;Abrasion;Pronounced;n/a;Target central product;In-axis;Twisted;Triangular;No;No;None;0;0;
116;An2-10-4-2;Blade;Proximal;n/a;n/a;15;5;Plain;12;4;Absent;Diffuse;n/a;n/a ;In-axis;Straight;Trapezoidal;Yes;No;None;0;0;
147;An2-10-4-2;Blade;Proximal;n/a;n/a;23;11;Plain;17;10;Abrasion;Pronounced;n/a;Target central product;In-axis;Twisted;Triangular;Yes;No;None;0;0;Large broken blade with overhang presered proximally
149;An2-10-4-2;Blade;Proximal;n/a;n/a;24;6;Plain;21;5;Flaking;Diffuse;n/a;Target central product;In-axis;Twisted;Trapezoidal;Yes;No;None;0;0;Large broken central blade with skewed triangular dorsal scar
150;An2-10-4-2;Blade;Proximal;n/a;n/a;21;12;Plain;16;12;Absent;Pronounced;n/a;Target central product;Off-axis left;Twisted;Triangular;No;No;None;0;0;Early broken intercalated product (just two oblique surfaces separated by a central ridge)
151;An2-10-4-2;Blade;Proximal;n/a;n/a;16;3;Plain;17;4;Abrasion;Pronounced;n/a;Target central product;Off-axis left;Twisted;Trapezoidal;No;Yes;None;0;0;Broken central off-axis product with hinged foregoing removal scar
152;An2-10-4-2;Blade;Proximal;n/a;n/a;16;5;Plain;12;5;Abrasion;Diffuse;n/a;Target central product;Off-axis right;Twisted;Trapezoidal;No;Yes;None;0;0;Central product with raised central ridge remnant on striking platform and foregoing hinged removal next to it
154;An2-10-4-2;Blade;Proximal;n/a;n/a;15;7;Plain;15;7;Abrasion;Diffuse;n/a;Target central product;Off-axis left;Twisted;Triangular;Yes;Yes;None;0;0;Failed lateral product on reduction surface
157;An2-10-4-2;Blade;Proximal;n/a;n/a;20;4;Plain;15;3;Absent;Diffuse;n/a;n/a ;In-axis;Straight;Trapezoidal;No;No;None;0;0;
167;An2-10-4-2;Blade;Proximal;n/a;n/a;16;2;Linear;11;1;Flaking;Diffuse;n/a;n/a ;In-axis;Straight;Trapezoidal;No;No;None;0;0;
170;An2-10-4-2;Blade;Proximal;n/a;n/a;15;3;Plain;14;2;Abrasion;Diffuse;n/a;Target central product;Off-axis left;Twisted;Trapezoidal;No;No;None;0;0;
