ID;Contex/Box;Blank Type;Completeness;Blade/Bladelet Type;Max. Length (mm);Max. Width (mm);Max. Thickness (mm);Platform Type;Platform width (mm);Platform depth (mm);Dorsal reduction;Bulb;Distal configuration;Product Type;Axiality;Longitudinal cross-section;Blank cross-section;Dorsal triangular scars smaller than obtained product;Dorsal hinged scars smaller than obtained product;Retouch;Cortex/natural surface (in general);Cortical piece (>50%);Other comments
1200;ANS2-10-1-1;Blade;Almost Complete;Type 4;64;18;8;Dihedral;19;9;Absent;Pronounced;Concave;Overpass;In-axis;Curved;Trapezoidal;No;No;Distal-concave truncation;0;0;"Truncation on overshoot blade with super-massive bulb; exotic RM"
1202;An2-10-4-1;Blade;Almost Complete;Type 2;65;15;6;Plain;13;7;Absent;Diffuse;Acute pointed;Lateral product;Off-axis left;Straight;Trapezoidal;No;No;None;0;0;"Almost bladelet; exotic raw material"
S1;An2-10-4-1;Blade;Almost Complete;Type 3;47;14;3;Linear;11;1;Absent;Diffuse;Acute pointed;Target central product;In-axis;Straight;Trapezoidal;Yes;No;None;0;0;Almost bladelet (central product)
S9;An2-10-2-1;Blade;Almost Complete;Type 3;67;21;9;Partially Faceted;12;4;Flaking;Diffuse;Acute pointed;Lateral product;Off-axis right;Twisted;Triangular;No;No;None;0;0;
1141;An2-10-3-1 (wirklich IUP?);Blade;Almost Complete;Type 3;49;20;6;Partially Faceted;13;4;Absent;Diffuse;Wide pointed;Lateral product;Off-axis left;Twisted;Triangular;No;No;None;0;0;
66;An2-10-4-2;Blade;Almost Complete;Type 1;47;21;6;Plain;14;3;Absent;Non-visible;Acute pointed;Target central product;In-axis;Straight;Triangular;Yes;Yes;None;0;0;
1263;An2-10-2-1;Blade;Almost Complete;Type 1;63;19;6;n/a;n/a;n/a;n/a;n/a;Acute pointed;Target central product;In-axis;Straight;Trapezoidal;Yes;Yes;Proximal oblique truncation and right-lateral notch;0;0;Probably elongated triangular piece selected for hafting supported by notch-truncation config and with distal broken tip
1233;An2-10-4-2;Blade;Almost Complete;Type 2;62;15;4;Plain;4;12;Flaking;Diffuse;Acute pointed;Lateral product;Off-axis right;Twisted;Triangular;No;No;None;1;0;Early lateral almost-bladelet (small portion of left-lateral cortext), no Y-structure
224;An2-10-4-2-gezeichnet;Blade;Almost Complete;Type 2;93;41;20;Plain;31;13;Flaking;Pronounced;Acute pointed;Overpass;Off-axis left;Twisted;Trapezoidal;No;Yes;None;1;0;GEZEICHNET in Jordanien-Band (larger hinge/fissure removal with off-axis overshot blade with tiny dorsal cortex remnant
1510;An2-10-4-2;Bladelet;Almost Complete;Type 3;49;10;4;Plain;13;2;Absent;Diffuse;Acute pointed;Target central product;Off-axis left;Straight;Triangular;No;Yes;None;0;0;Long-narrow off-axis bladelet blank
127;An2-10-4-2;Bladelet;Almost Complete;Type 3;20;10;2;Linear;5;1;Absent;Diffuse;Acute pointed;Target central product;Off-axis left;Twisted;Trapezoidal;Yes;No;None;0;0;
128;An2-10-4-2;Bladelet;Almost Complete;Type 3;27;11;4;Plain;6;4;Flaking;Diffuse;Acute pointed;Target central product;Off-axis right;Twisted;Triangular;No;No;None (distal straigt/oblique light use-wear);0;0;Showing that some non-parallel edged, twisted blade/lets were used as plain tools
1524;An2-10-3-1 (wirklich IUP?);Flake;Almost Complete;;40;24;6;Plain;10;3;Flaking;Diffuse;Wide pointed;Target central product;In-axis;Slightly curved;Trapezoidal;Yes;No;None;0;0;
S55;An2-10-3-1 (wirklich IUP?);Flake;Almost Complete;;21;19;2;Linear;1;5;Abrasion;Non-visible;Curved;;In-axis;Slightly curved;Trapezoidal;No;No;None;0;0;
118;An2-10-4-2;Flake;Almost Complete;;21;14;2;Linear;10;1;Abrasion;Diffuse;Acute pointed;Target central product;In-axis;Straight;Trapezoidal;No;No;None;0;0;
140;An2-10-4-2;Flake;Almost Complete;Type 1;28;15;3;Partially Faceted;8;3;Absent;Diffuse;Acute pointed;Target central product;Off-axis left;Slightly curved;Trapezoidal;Yes;No;None;0;0;
S26;An2-10-2-1;Flake;Almost Complete;;63;40;27;n/a;n/a;n/a;n/a;Diffuse;Straight;Overpass;In-axis;Curved;Triangular;No;No;Proximal endscraper-like modification;0;0;Large steep flaking/striking surface clearing flake
181;An2-10-4-2;Triangular Bladelet Point;Almost Complete;Type 1;18;12;2;Linear;4;1;Absent;Diffuse;Acute pointed;Target central product;In-axis;Straight;Triangular;No;No;None;0;0;"Triangular ""atypical"" bladelet (not twice as long as wide)"
1597;An2-10-4-2;Triangular Point;Almost Complete;Type 1;64;31;8;Plain;17;6;Absent;Pronounced;Acute pointed;Target central product;In-axis;Slightly curved;Triangular;Yes;No;Left-tip local retouch;0;0;ad-hoc tool/use on central triangular piece (showing that they are searched-for)
1245;ANS2-10-1-1;Triangular Point;Almost Complete;Type 1;59;21;9;Partially Faceted;16;9;Absent;Pronounced;Acute pointed;Target central product;In-axis;Slightly curved;Triangular;No;No;None;0;0;Distal impact fracture?
1634;ANS2-10-1-1;Triangular Point;Almost Complete;Type 1;70;30;16;Partially Faceted;25;11;Absent;Diffuse;Acute pointed;Target central product;In-axis;Straight;Triangular;Yes;Yes;None;0;0;Very steep central triangular point
1532;ANS2-10-1-1;Triangular Point;Almost Complete;Type 1;48;25;15;Partially Faceted;23;12;Absent;Diffuse;Acute pointed;Target central product;In-axis;Twisted;Triangular;Yes;No;None;0;0;Small triangular point with foregoing triangular removal on dorsal surface
1589;An2-10-4-2;Triangular Point;Almost Complete;Type 1;52;22;4;Plain;13;3;Abrasion;Diffuse;Acute pointed;Target central product;In-axis;Straight;Trapezoidal;Yes;No;None;0;0;
117;An2-10-4-2;Triangular Point;Almost Complete;Type 1;29;13;5;Shattered;n/a;n/a;Flaking;Non-visible;Acute pointed;Lateral product;Off-axis left;Twisted;Triangular;No;No;None;0;0;Twisted triangular product from lateral extremities of reduction face
210;An2-10-4-2;Triangular Point;Almost Complete;Type 1;23;13;5;Plain;11;5;Absent;Diffuse;Acute pointed;Target central product;Off-axis left;Straight;Triangular;No;No;None;0;0;Small intercalated triangular production removing proximal overhang
229;An2-2011-1200;Triangular Point;Almost Complete;Type 1;63;17;7;Shattered;n/a;n/a;n/a;n/a;Acute pointed;Target central product;Off-axis left;Slightly curved;Triangular;Yes;No;None;0;0;
1507;An2-10-4-2;Triangular Point;Almost Complete;Type 1;32;16;3;Partially Faceted;6;3;Abrasion;Diffuse;Acute pointed;Target central product;Off-axis right;Hinged;Trapezoidal;Yes;No;None (distal straigt/oblique light use-wear);0;0;Twisted hinged small triangular point with distal use, showing that this type of blank was used
225;An2-10-4-2-gezeichnet;Triangular Point;Almost Complete;Type 1;61;25;6;Plain;25;5;Abrasion;Pronounced;Acute pointed;Target central product;In-axis;Straight;Trapezoidal;Yes;No;None (ventral bilateral use-wear towards to tip);0;0;GEZEICHNET in Jordanien-Band (shows the use of intercalated triangular forms)
223;An2-10-4-2-gezeichnet;Blade;Complete;Type 4;89;32;12;Plain;11;6;Absent;Diffuse;Irregular;Overpass;In-axis;Curved;Trapezoidal;No;No;"Left-lateral fine retouch along a large portion of the edge and ""notch"" towards distal end";0;0;GEZEICHNET in Jordanien-Band
1000;ANS2-10-1-1;Blade;Complete;Type 3;111;32;19;Plain;20;8;Absent;Diffuse;Irregular;Overpass;Off-axis left;Twisted;Trapezoidal;No;No;None;0;0;Technical overshoot blade with distal overhang
1107;ANS2-10-1-1;Blade;Complete;Type 4;77;28;19;Partially Faceted;21;6;Absent;Diffuse;Straight;Overpass;In-axis;Curved;Triangular;Yes;Yes;None;0;0;Technical overshoot blade with distal overhang
1514;ANS2-10-1-1;Blade;Complete;Type 4;73;29;11;Plain;20;8;Flaking;Diffuse;Straight;Lateral product;Off-axis left;Curved;Triangular;Yes;No;None;0;0;"Pseudo-overshoot blade; exotic RM"
1003;ANS2-10-1-1;Blade;Complete;Type 2;52;15;6;Faceted;9;4;Flaking;Diffuse;Acute pointed;Target central product;In-axis;Straight;Triangular;Yes;No;None;0;0;"Slightly distally ""buldging"""
1602;ANS2-10-1-1;Blade;Complete;Type 2;61;24;9;Plain;14;9;Abrasion+Flaking;Diffuse;Acute pointed;Target central product;In-axis;Slightly curved;Triangular;No;Yes;None;0;0;
1006;ANS2-10-1-1;Blade;Complete;Type 3;89;21;7;Partially Faceted;13;10;Absent;Diffuse;Wide pointed;Lateral product;Off-axis right;Twisted;Triangular;No;No;None;0;0;Nach oben aufgewoelbter Schlagflaechenrest
1213;ANS2-10-1-1;Blade;Complete;Type 4;78;32;13;Dihedral;21;10;Absent;Diffuse;Straight;Overpass;In-axis;Slightly curved;Triangular;Yes;No;None;0;0;Centrales overshotblade
1574;ANS2-10-1-1;Blade;Complete;Type 4;55;23;14;Plain;18;18;Absent;Diffuse;Straight;Preparatory;In-axis;Twisted;Triangular;No;No;None;0;0;"Pseudo-crested blade with steep triangular cross-section; initialization blade?; proximally burnt?"
1616;ANS2-10-1-1;Blade;Complete;Type 2;43;20;6;Partially Faceted;15;7;Absent;Diffuse;Acute pointed;Target central product;Off-axis left;Slightly curved;Triangular;No;No;None;0;0;
1623;ANS2-10-1-1;Blade;Complete;Type 4;85;49;17;Cortical/Natural Surface;21;11;Abrasion+Flaking;Diffuse;Curved;Overpass;In-axis;Curved;Triangular;Yes;No;None;0;0;Overshoot blade mit T-ending
1543;ANS2-10-1-1;Blade;Complete;Type 4;73;31;15;Plain;16;7;Abrasion;Diffuse;Straight;Overpass;In-axis;Twisted;Trapezoidal;No ;Yes;None;0;0;Steep and amorphous overshot blade with a number of failed dorsal blade/let removals
1532;ANS2-10-1-1;Blade;Complete;Type 3;102;36;13;Faceted;20;16;Flaking;Diffuse;Acute pointed;Preparatory;Off-axis right;Twisted;Triangular;No;No;None;0;0;"Extreme off-axis core-edge blade of crested character (but only one true ""crest"" scar); rejuventation flake"
1231;ANS2-10-1-1;Blade;Complete;Type 4;93;44;13;Cortical/Natural Surface;24;19;Flaking;Diffuse;Irregular;Preparatory;In-axis;Hinged;Trapezoidal;Yes;Yes;None;0;0;Convexity correction blade (that failed?)
1627;ANS2-10-1-1;Blade;Complete;Type 4;99;17;9;Partially Faceted;11;7;Absent;Diffuse;Straight;Overpass;In-axis;Slightly curved;Triangular;No;No;None;0;0;Steep, narrow overshoot blade without cortex with pseudo-cresting (edge nibbeln)
1524;ANS2-10-1-1;Blade;Complete;Type 4;71;17;14;Plain;10;3;Absent;Diffuse;Irregular;Preparatory;Off-axis left;Twisted;Trapezoidal;No;Yes;None;0;0;TYPICAL PIECE: removal of failed-bulged bladelet removal-overhang on the narrow edge, but from the direction of the core foot (against bladelet removal direction)
1559;ANS2-10-1-1;Blade;Complete;Type 4;61;25;25;Plain;18;9;Flaking;Diffuse;Straight;Overpass;Off-axis left;Twisted;Trapezoidal;Yes;No;None;0;0;TYPICAL PIECE: removal of failed-bulged bladelet removal-overhang on the narrow edge, in bladelet removal direction which also serves as overshoot and with cortical left lateral
1004;An2-10-4-1;Blade;Complete;Type 3;81;24;7;Plain;13;6;Absent;Diffuse;Acute pointed;Lateral product;Off-axis left;Straight;Trapezoidal;Yes;No;None;0;0;
1201;An2-10-4-1;Blade;Complete;Type 1;61;18;4;Linear;12;2;Absent;Diffuse;Acute pointed;Target central product;In-axis;Straight;Triangular;Yes;No;None;0;0;CLASSIC Intercalated product in-between blade and bladelet
1611;An2-10-2-1;Blade;Complete;Type 2;57;25;7;Cortical/Natural Surface;8;4;Absent;Diffuse;Acute pointed;Target central product;Off-axis right;Slightly curved;Trapezoidal;Yes;No;None;0;0;
1228;An2-10-2-1;Blade;Complete;Type 4;49;22;7;Plain;14;6;Absent;Diffuse;Irregular;Lateral product;Off-axis left;Twisted;Trapezoidal;No;Yes;None;0;0;"Use-wear on lateral right side; exotic RM"
1602;An2-10-2-1;Blade;Complete;Type 1;63;20;12;Punctiform;1;1;Absent;Diffuse;Acute pointed;Target central product;In-axis;Straight;Triangular;Yes;No;None;0;0;Central triangular piece, likely intercalated
1604;An2-10-2-1;Blade;Complete;Type 3;47;19;9;Plain;18;10;Absent;Pronounced;Acute pointed;Target central product;In-axis;Straight;Triangular;Yes;No;None;0;0;Intercalted almost triangular bladelet
1109;An2-10-2-1;Blade;Complete;Type 3;51;20;9;Plain;19;9;Absent;Pronounced;Wide pointed;Target central product;In-axis;Twisted;Trapezoidal;No;No;None;0;0;Central product but probably TECHNICAL character (predetermining) and restoring flattness of reduction surface
1202;An2-10-2-1;Blade;Complete;Type 3;53;19;5;Plain;16;4;Absent;Diffuse;Wide pointed;Target central product;Off-axis left;Twisted;Trapezoidal;Yes;No;None;0;0;
1223;An2-10-2-1;Blade;Complete;Type 4;50;21;8;Linear;11;1;Flaking;Diffuse;Straight;Target central product;In-axis;Hinged;Trapezoidal;Yes;No;None;0;0;Failed central blade
1505;An2-10-2-1;Blade;Complete;Type 2;58;17;4;Plain;8;3;Flaking;Diffuse;Acute pointed;Target central product;In-axis;Straight;Triangular;Yes;No;None;0;0;Broken disto-lateral part (excavation damage?)
1104;An2-10-2-1;Blade;Complete;Type 2;102;28;12;Cortical/Natural Surface;25;10;Absent;Pronounced;Acute pointed;Target central product;In-axis;Curved;Trapezoidal;No;Yes;None;0;0;VERY NICE EXAMPLE OF INTERCALATED PRODUCTION
1509;An2-10-2-1;Blade;Complete;Type 3;46;16;6;Partially Faceted;9;3;Absent;Non-visible;Acute pointed;Target central product;In-axis;Twisted;Triangular;No;Yes;None;0;0;Almost bladelet, but twisted
S47;An2-10-3-1 (wirklich IUP?);Blade;Complete;Type 2;32;14;4;Shattered;9;3;Abrasion;Non-visible;Acute pointed;Target central product;In-axis;Straight;Triangular;No;Yes;None;0;0;EARLY (no Y-pattern) central small blade in between larger blades
S48;An2-10-3-1 (wirklich IUP?);Blade;Complete;Type 3;33;14;3;Plain;5;3;Absent;Diffuse;Acute pointed;Lateral product;Off-axis right;Slightly curved;Triangular;No;No;None;0;0;
1110;An2-10-4-2;Blade;Complete;Type 3;90;29;16;Plain;13;12;Flaking;Non-visible;Wide pointed;Overpass;In-axis;Twisted;Triangular;Yes;No;None;0;0;Large overshoot blade (relatively EARLY) with dorsal bladelet scar
1610;An2-10-4-2;Blade;Complete;Type 2;48;20;5;Plain;8;4;Abrasion;Diffuse;Acute pointed;Target central product;In-axis;Hinged;Trapezoidal;Yes;No;None;0;0;Convergent small blade from intercalated prodcution showing that sometimes it was possible to produce to smaller pointed blanks in-between larger removals (almost similar sized bladelet scar preserved dosally)
67;An2-10-4-2;Blade;Complete;Type 2;38;19;4;Plain;11;4;Absent;Non-visible;Acute pointed;Target central product;In-axis;Hinged;Triangular;No;No;None;0;0;Early leafshaped smal pointed product
70;An2-10-4-2;Blade;Complete;Type 3;60;17;5;Plain;11;4;Absent;Non-visible;Acute pointed;Target central product;In-axis;Straight;Triangular;No;No;None;0;0;Early elongated blade/let
1310;An2-10-4-2;Blade;Complete;Type 2;42;20;3;Plain;4;2;Absent;Diffuse;Acute pointed;Target central product;Off-axis right;Twisted;Trapezoidal;No;No;None;0;0;Centralised leaf-shaped product
1005;An2-10-4-2-gezeichnet;Blade;Complete;Type 2;72;26;8;Plain;16;7;Flaking;Pronounced;Acute pointed;Target central product;Off-axis right;Twisted;Triangular;Yes;No;None;0;0;GEZEICHNET in Jordanien-Band
1007;An2-10-4-2-gezeichnet;Blade;Complete;Type 3;69;23;6;Plain;17;6;Abrasion;Diffuse;Acute pointed;Target central product;In-axis;Straight;Trapezoidal;Yes;No;None;0;0;GEZEICHNET in Jordanien-Band
227;An2-2011-1200;Blade;Complete;Type 3;68;14;5;Linear;10;1;Abrasion;Diffuse;Acute pointed;Target central product;Off-axis left;Twisted;Triangular;Yes;No;None;0;0;
235;An2-2011-1200;Blade;Complete;Type 3;34;14;3;Plain;5;3;Flaking;Diffuse;Acute pointed;Target central product;In-axis;Hinged;Triangular;No;Yes;None;0;0;Hinged central intercalation product
1224;An2-10-4-2;Blade;Complete;Type 1;54;20;10;Plain;19;11;Absent;Diffuse;Wide pointed;Target central product;In-axis;Slightly curved;Triangular;Yes;No;None (light use wear on the right lateral side (dorsally) = plain use as knife);0;0;Similar type of blank-tool relation as in 1591
1591;An2-10-4-2;Blade;Complete;Type 2;61;26;9;Plain;12;6;Flaking;Diffuse;Acute pointed;Target central product;Off-axis left;Hinged;Trapezoidal;Yes;Yes;None (light use wear on the right lateral side (ventrally) = plain use as knife);0;0;Central leaf-shaped blank with dorsal bladelet scars used to clear the V-structure (quasi preparatory)
1208;An2-10-4-2;Blade;Complete;Type 2;44;14;4;Plain;9;3;Absent;Non-visible;Acute pointed;Target central product;In-axis;Straight;Triangular;No;No;Two small notches right-lateral tip section;0;0;Intercalated early bladelet-like blade
1002;ANS2-10-1-1;Blade;Complete;Type 3;75;25;10;Partially Faceted;23;4;Absent;Pronounced;Acute pointed;Overpass;In-axis;Slightly curved;Trapezoidal;Yes;No;None;1;0;Small portion of dorsal cortex cover
1250;ANS2-10-1-1;Blade;Complete;Type 3;68;21;12;Linear;8;2;Absent;Diffuse;Acute pointed;Preparatory;Off-axis right;Twisted;Triangular;No;No;None;1;0;"Cortical distal cover steep ""egde-flake"", probably for opening the removal face"
1567;ANS2-10-1-1;Blade;Complete;Type 4;88;30;11;Plain;10;6;Absent;Diffuse;Wide pointed;Overpass;Off-axis right;Twisted;Side blade/débordant;No;No;None;1;0;Preparatory overshoot blade with right lateral cortical edge
1251;ANS2-10-1-1;Blade;Complete;Type 4;116;29;17;Partially Faceted;15;6;Absent;Diffuse;Curved;Overpass;In-axis;Twisted;Triangular;No;No;None;1;0;"Left distal cortical remant, and right natural surface on dorsal face; initial blade to open up the reduction surface"
1102;An2-10-4-1;Blade;Complete;Type 3;100;26;9;Plain;9;9;Flaking;Diffuse;Curved;Overpass;In-axis;Slightly curved;Trapezoidal;No;No;None;1;0;Plain, non-technical overshot blade with distal cortex remains
S8;An2-10-2-1;Blade;Complete;Type 4;71;24;19;Plain;14;6;Absent;Diffuse;Straight;Preparatory;In-axis;Straight;Side blade/débordant;No;No;None;1;0;Steep amorphous natural surface edge with incipient cresting (attempts), probably to active a natural crest/edge (overshoting)
TR1-L2-181;An2-10-2-1;Blade;Complete;Type 2;87;31;18;Plain;19;7;Absent;Pronounced;Acute pointed;Overpass;In-axis;Twisted;Side blade/débordant;Yes;Yes;None;1;0;Lateral overshoot blade with naturals surface remnant left and distal elongated triangular laminar removal from the opposite side (from core foot), probably in an attempt to correct the convexity before the overshoot removal was taken
1219;An2-10-2-1;Blade;Complete;Type 4;55;22;7;Partially Faceted;17;7;Absent;Pronounced;Wide pointed;Lateral product;In-axis;Curved;Side blade/débordant;Yes;No;None;1;0;Right-lateral cortex
1225;An2-10-2-1;Blade;Complete;Type 4;82;25;18;Plain;13;9;Flaking;Diffuse;Straight;Overpass;Off-axis left;Twisted;Trapezoidal;No;Yes;None;1;0;Overshoot correction blade to rejuvenate convexity after hinged laminar removal with some minor cortex on the left latero-distal
1582;An2-10-2-1;Blade;Complete;Type 4;50;22;9;Partially Faceted;12;3;Abrasion;Diffuse;Irregular;Overpass;In-axis;Curved;Side blade/débordant;No;Yes;None;1;0;"Short overshoot blade with left cortext-edge; exotic RM"
1103;An2-10-2-1;Blade;Complete;Type 3;74;26;8;Partially Faceted;12;2;Flaking;Diffuse;Wide pointed;Overpass;Off-axis left;Slightly curved;Trapezoidal;Yes;Yes;None;1;0;Atypical overpass since feather ending but with natural surface remnants
S22;An2-10-2-1;Blade;Complete;Type 2;44;21;4;Plain;15;3;Flaking;Diffuse;Acute pointed;Lateral product;In-axis;Twisted;Triangular;No;No;None;1;0;Bisschen cortex (less than half)
1003;An2-10-4-2;Blade;Complete;Type 4;84;21;8;Plain;9;5;Flaking;Pronounced;Straight;Overpass;In-axis;Curved;Trapezoidal;Yes;No;None;1;0;Overpass blade with some cortex at the distal part (bot not at the very end)
1229;An2-10-4-2;Blade;Complete;Type 4;63;30;6;Plain;11;5;Abrasion;Pronounced;Irregular;Lateral product;In-axis;Slightly curved;Side blade/débordant;No;Yes;None;1;0;Small portion of right-lateral cortex
68;An2-10-4-2;Blade;Complete;Type 4;59;24;11;Plain;16;11;Absent;Pronounced;Curved;Overpass;In-axis;Twisted;Trapezoidal;Yes;No;None;1;0;Atypical overpass with small portion of natural surface distally
85;An2-10-4-2;Blade;Complete;Type 4;34;17;6;Plain;8;5;Flaking;Diffuse;n/a;Lateral product;Off-axis left;Hinged;Trapezoidal;No;Yes;None;1;0;Lateral off-axis blade with hinge and later cortex of core-edge
93;An2-10-4-2;Blade;Complete;Type 4;39;14;5;Shattered;n/a;n/a;Absent;Diffuse;Irregular;Lateral product;In-axis;Twisted;Side blade/débordant;No;No;None;1;0;Steep lateral cortical edge
1530;An2-10-2-1;Blade;Complete;Type 2;155;61;38;Plain;53;35;Absent;Non-visible;Acute pointed;Initial Shaping/Decortification;In-axis;Straight;Triangular;;;"Heavy-duty retouch on tip and left-tip-lateral (""knife"" on initial opening blade)";1;1;Large flake with >50% cortex to open up an initial narrow face for reduction or for creating the striking platform
1566;An2-10-2-1;Blade;Complete;Type 4;61;22;10;Plain;16;8;Abrasion;Diffuse;Curved;Preparatory;Off-axis right;Twisted;Side blade/débordant;Yes;Yes;None;1;1;High cortical (>50%) initial blade with a complete and a hinged bladelety scar
1580;An2-10-2-1;Blade;Complete;Type 4;47;21;5;Plain;9;3;Absent;Diffuse;Straight;Initial Shaping/Decortification;In-axis;Curved;Trapezoidal;No;No;None;1;1;>80% dorsal cortex
1258;An2-10-2-1;Blade;Complete;Type 4;49;20;6;Plain;13;4;Flaking;Diffuse;Straight;Lateral product;In-axis;Hinged;Trapezoidal;No;Yes;None;1;1;ca. 50% cortex
S27;An2-10-2-1;Blade;Complete;Type 4;76;36;19;Partially Faceted;10;3;Absent;Diffuse;Wide pointed;Overpass;In-axis;Twisted;Triangular;No;No;None;1;1;Large 50% cortex bearing overshoot blade
1558;An2-10-4-2;Blade;Complete;Type 3;101;45;16;Plain;31;17;Absent;Pronounced;Acute pointed;Initial Shaping/Decortification;In-axis;Twisted;Triangular;No;No;None;1;1;">50 cortex; transition product to move and open up the ""broad side"" of the core"
Tr121-59;ANS2-10-1-1;Bladelet;Complete;Type 2;46;11;4;Plain;10;4;Flaking;Diffuse;Acute pointed;Target central product;Off-axis right;Slightly curved;Trapezoidal;Yes;No;None;0;0;
1204;An2-10-2-1;Bladelet;Complete;Type 3;52;12;3;Partially Faceted;9;2;Flaking;Diffuse;Acute pointed;Lateral product;Off-axis right;Twisted;Triangular;Yes;No;None;0;0;Twisted bladelet obtained from a core-edge (Aurignacian style)
S51;An2-10-3-1 (wirklich IUP?);Bladelet;Complete;Type 4;21;11;2;Linear;2;1;Absent;Diffuse;Straight;Target central product;In-axis;Hinged;Triangular;No;No;None;0;0;Failed central bladelet/small narrow blade
1501;An2-10-4-2;Bladelet;Complete;Type 3;58;12;4;Plain;7;4;Abrasion;Diffuse;Acute pointed;Target central product;Off-axis left;Twisted;Trapezoidal;Yes;No;None;0;0;Perfect parallel-lateral bladelet but twisted and likely from core-edge rather than overhang or intercalation
1508;An2-10-4-2;Bladelet;Complete;Type 2;35;12;5;Plain;7;5;Absent;Diffuse;Acute pointed;Target central product;In-axis;Straight;Triangular;No;No;None;0;0;Intercalated production (early stage, non-Y-structure)
1507;An2-10-4-2;Bladelet;Complete;Type 4;32;12;5;Partially Faceted;9;5;Abrasion;Diffuse;Curved;Target central product;In-axis;Hinged;Trapezoidal;Yes;No;None;0;0;Failed central bladelet (hinged, thus non-pointed), direkt an der Kante die stehenbleibt wenn keine Kernkantenkorrektur zwischen large Laminarabhueben durchgefuehrt wird
1206;An2-10-4-2;Bladelet;Complete;Type 4;26;11;6;Plain;10;6;Absent;Diffuse;Curved;Target central product;In-axis;Hinged;Triangular;No;No;None;0;0;"Failed central bladelet on overhang (""pseudo-en eperon"")"
158;An2-10-4-2;Bladelet;Complete;Type 4;25;11;3;Plain;9;4;Absent;Diffuse;Straight;Target central product;In-axis;Hinged;Triangular;No;No;None;0;0;Early failed intercalated product (hinged), with slight twist
189;An2-10-4-2;Bladelet;Complete;Type 4;19;9;4;Plain;9;4;Absent;Diffuse;Curved;Target central product;Off-axis right;Hinged;Triangular;No;No;None;0;0;Failed intercalated product
237;An2-2011-1200;Bladelet;Complete;Type 3;22;10;3;Plain;5;2;Flaking;Diffuse;Curved;Target central product;In-axis;Hinged;Triangular;No;Yes;None;0;0;Hinged and thus likely failed central intercalated bladelet (pointedness required not achieved)
2051;An2-2011-1200;Bladelet;Complete;;26;11;4;Plain;5;2;Flaking;Diffuse;Acute pointed;Lateral product;Off-axis left;Hinged;Side blade/débordant;No;No;None;0;0;"Atypical ""bladelet"" with almost 90degree core-edge (flaked, non-cortical)"
1209;An2-10-2-1;Bladelet;Complete;Type 2;36;10;4;Cortical/Natural Surface;8;3;Absent;Non-visible;Acute pointed;Target central product;In-axis;Straight;Triangular;No;No;None;1;0;PERFECT PLAIN EARLY BLADELET (natural surface platform)
74;An2-10-4-2;Bladelet;Complete;Type 1;28;10;4;Linear;10;1;Flaking;Non-visible;Acute pointed;Lateral product;Off-axis left;Straight;Triangular;No;No;None;1;0;Early triangular off-axis bladelet (nonintendet) with small portion of left-lateral cortex
1512;ANS2-10-1-1;Flake;Complete;;74;80;11;Partially Faceted;41;11;Absent;Pronounced;;Preparatory;In-axis;Straight;;;;None;0;0;Core tablet function?
1553;ANS2-10-1-1;Flake;Complete;;113;48;32;Plain;25;20;Flaking;Pronounced;;Preparatory;In-axis;Twisted;;;;None;0;0;"Clearly initial opening flake with crested elements (initial heteromorphous cresting elements to open up the flaking/reduction surface); or removal of top of striking surface to create a new surface and correct angle"
1537;ANS2-10-1-1;Flake;Complete;Type 1;63;38;13;Cortical/Natural Surface;18;6;Flaking;Diffuse;Acute pointed;Lateral product;In-axis;Straight;Side blade/débordant;No;No;None;0;0;Edge product, preparatory character but not explicit
1211;ANS2-10-1-1;Flake;Complete;;62;77;16;Plain;9;15;Flaking;Diffuse;;Preparatory;In-axis;Straight;;;;None;0;0;Buldgy, preparatory flake with distal overpass, probably to create the striking platform or to open up the flank
1232;ANS2-10-1-1;Flake;Complete;;77;72;16;Cortical/Natural Surface;23;9;Absent;Pronounced;Straight;Overpass;Off-axis right;Curved;Trapezoidal;;;None;0;0;Overpass flake to open up the flank
1212;ANS2-10-1-1;Flake;Complete;;37;67;9;Faceted;55;9;Flaking;Pronounced;;Preparatory;Off-axis left;Straight;Trapezoidal;;;None;0;0;"pseudo-blade/triangular flake; CLASSIC platform flake with core-edge remnants"
S3;An2-10-4-1;Flake;Complete;n/a;62;38;15;Plain;26;9;Absent;Pronounced;n/a;Lateral product;Off-axis right;Slightly curved;Side blade/débordant;No;Yes;None;0;0;Curved ENDSCRAPER on cortical (30%) elongated flake with hinged blade negative on dorsal surface
1606;An2-10-2-1;Flake;Complete;Type 1;40;28;11;Faceted;24;10;Absent;Diffuse;Acute pointed;Target central product;In-axis;Straight;Triangular;No;No;None;0;0;Pointed flake, Levallois point-like without Y-scar pattern
1512;An2-10-2-1;Flake;Complete;;50;52;13;Faceted;46;12;Absent;Pronounced;;Preparatory;Off-axis left;Straight;Trapezoidal;;;None;0;0;Core tablet
1113;An2-10-2-1;Flake;Complete;;70;48;9;Plain;8;4;Absent;Diffuse;;Preparatory;In-axis;Hinged;Trapezoidal;No;No;None;0;0;Qausi-overshoot, hinged, twisted flake at the edge of the reduction surface to remove hinged dorsal removals, possibly from opposite of the main striking surface
1236;An2-10-2-1;Flake;Complete;;29;21;6;Plain;20;7;Absent;Diffuse;Acute pointed;Target central product;In-axis;Hinged;Trapezoidal;No;No;None;0;0;Flake varient of triangular intercalated blade/let products
